Location,Job Title (KETCHUM MATCH),Hourly Pay Rate KETCHUM CURRENT W/ PEERS AGED 3% ,Years at Organization
Bellevue,ADMIN ASSISTANT,18.39,
Bellevue,ADMIN ASSISTANT,25.75,
Blaine Co Rec Dist,ADMIN ASSISTANT,17.51,1.5
Blaine Co Sch Dist,ADMIN ASSISTANT,33.32,8.5
Blaine Co Sch Dist,ADMIN ASSISTANT,24.00,3.01
Blaine Co Sch Dist,ADMIN ASSISTANT,30.60,1.02
Blaine Co Sch Dist,ADMIN ASSISTANT,37.15,24.08
Blaine Co Sch Dist,ADMIN ASSISTANT,23.49,1.36
Blaine Co Sch Dist,ADMIN ASSISTANT,31.67,6.17
Blaine Co Sch Dist,ADMIN ASSISTANT,24.00,1.56
Blaine Co Sch Dist,ADMIN ASSISTANT,23.49,1.47
Blaine County,ADMIN ASSISTANT,31.64,4.8
Blaine County,ADMIN ASSISTANT,36.97,19.8
Hailey,ADMIN ASSISTANT,31.83,1.4
Hailey,ADMIN ASSISTANT,29.17,5.88
Hailey,ADMIN ASSISTANT,30.23,3.77
Hailey,ADMIN ASSISTANT,25.08,4.17
Hailey,ADMIN ASSISTANT,23.35,1.96
Jackson,ADMIN ASSISTANT,28.61,0.76
Jackson,ADMIN ASSISTANT,36.41,1.6
Jackson,ADMIN ASSISTANT,38.31,6.65
Jackson,ADMIN ASSISTANT,26.97,2.53
Jackson,ADMIN ASSISTANT,38.56,3.68
Jackson,ADMIN ASSISTANT,35.83,
Ketchum,ADMIN ASSISTANT,25.75,6.47
Ketchum,ADMIN ASSISTANT,27.32,2.68
Ketchum,ADMIN ASSISTANT,28.00,0.13
Ketchum,ADMIN ASSISTANT,28.00,1.03
McCall,ADMIN ASSISTANT,23.20,4.18
McCall,ADMIN ASSISTANT,19.89,2.18
Park City,ADMIN ASSISTANT,21.40,
Park City,ADMIN ASSISTANT,24.68,
Park City,ADMIN ASSISTANT,36.42,26.17
Sun Valley,ADMIN ASSISTANT,33.18,2.06
Telluride,ADMIN ASSISTANT,33.35,
Telluride,ADMIN ASSISTANT,30.32,
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,33.32,16.09
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,35.52,1.57
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,37.07,15.57
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,31.26,6.51
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,36.60,1.76
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,34.77,25.52
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,37.07,2.52
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,31.93,12.36
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,35.52,4.93
Blaine Co Sch Dist,ASSISTANT TO THE CITY ADMINISTRATOR,37.07,15.54
Ketchum,ASSISTANT TO THE CITY ADMINISTRATOR,31.93,2.96
Park City,ASSISTANT TO THE CITY ADMINISTRATOR,39.77,1.68
Blaine County,ASSOCIATE PLANNER,33.86,1.8
Blaine County,ASSOCIATE PLANNER,30.39,0.88
Blaine County,ASSOCIATE PLANNER,37.80,7.8
Hailey,ASSOCIATE PLANNER,32.16,1.72
Hailey,ASSOCIATE PLANNER,29.87,1.03
Jackson,ASSOCIATE PLANNER,40.24,3.12
Ketchum,ASSOCIATE PLANNER,31.25,1.16
Ketchum,ASSOCIATE PLANNER,31.50,2.57
McCall,ASSOCIATE PLANNER,25.63,2.79
Park City,ASSOCIATE PLANNER,33.93,1.85
Park City,ASSOCIATE PLANNER,41.69,2.95
Park City,ASSOCIATE PLANNER,41.69,2.54
Blaine Co Rec Dist,BUILDING & FACILITIES SUPERVISOR,30.56,12.88
Hailey,BUILDING & FACILITIES SUPERVISOR,31.93,
Jackson,BUILDING & FACILITIES SUPERVISOR,29.15,1.42
Ketchum,BUILDING & FACILITIES SUPERVISOR,28.97,3.39
